abstract,label
"The program has responsibility for coordinating requests, tendering processes, timely payment and budgeting alongside a number of other functions. The hospital drug procurement part of the program has reportedly saved 57% (or €49 million) for 23 active ingredients (Kastanioti et al., In Estonia, pre-crisis reforms had focused on centralising aspects of health care financing and planning, including collection of funds.",DIGITAL_INFRA
South Africa has one of the best sun regimes in the world. Yet it has one of the lowest penetrations of solar water heaters (SWH). Experience with non-grid electrification through solar heating systems (SHS) has taught a lesson that solar panels are subject to theft and vandalism. Information campaigns and community development programmes help reduce vandalism.,CLEAN_ENERGY
"However, it is indeed noteworthy that one of the accomplishments of the international nuclear legal regime is the fact that there is a common definition of most concepts applicable to radioactive waste disposal strategies. The 1989 Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal has played a similar role in establishing a comprehensive global framework with regard to non-radioactive hazardous wastes and has helped governments to define a set of potential waste management strategies. The same holds true for the 1972 London Dumping Convention and the 1992 OSPAR Convention which have served as drivers to introduce international environmental management principles into national policies. Once the strategies and policies have been established, national legal frameworks are developed to reflect those national priorities and policies, as illustrated for example by the issue of stakeholder involvement.",ENVIROTECH
"We are grateful to Christian Derlagen (FAO), Brad Gilmour (Agriculture and Agri-Food Canada), and Henk Riphagen (Ministry of Economic Affairs of the Netherlands) for their role as lead discussants during this peer review. Land designated for agricultural use by legal form of use, as of 1 November 2011. Composition of outlays on seed and perennial fruit plants programme, 2000-12 .",AGRITECH
"Instead, it had to use high cost of satellite connectivity. This changed in 2013 when the country connected to the ACE submarine cable. The connection was enabled through a public private partnership between the government and operators to manage the cable connection based on the principles of cost-based open access. This was complemented by the introduction of competition in 2015. These changes translated into dramatically lower Internet prices. High population density over its two relatively small islands simplified the spread of mobile broadband coverage.",DIGITAL_INFRA
"According to WHO calculations, in the same year, one in ten households in Greece experienced catastrophic out-of-pocket spending,8 rising to nearly one in three for the poorest households. Physicians’ density in 2014 varied from 2.9 per 1000 population in Western Macedonia and Central Greece to 8.6 per 1000 in Attica (ELSTAT, 2016) (Figure 14). One innovative project co-financed by the EU, the National Telemedicine Network, harnesses the power of telemedicine to reach patients living in remote areas (Figure 15).",MEDTECH
"Therefore, the quality and type of services offered vary. Beyond primary care, there is limited access to diagnostics services and specialist care within the public system, with long waiting times and high out-of-pocket costs. This has clearly negative consequences in terms of inequality as the poorer parts of the population cannot access the costly private health system and suffer from a lower quality health service.",MEDTECH
"South Asia is home to one of the world’s biggest concentrations of poverty. The subregion’s 1.7 billion people live with limited internal connectivity that remains fragmented and poorly organized. Without upgrading its internal connectivity, the subregion will be unable to capitalize on its potential to be a land bridge connecting Europe with the East, as well as serving as an economic gateway to and through the Central, South-West and South-East Asian countries situated at its boundaries.",DIGITAL_INFRA
"Much depends on the pace of capital accumulation and the building of domestic productive capacities. Public expenditure and general government policies can help support the creation of employment and wage opportunities by developing linkages between export-oriented primary sectors and the rest of the economy. However, unless external shocks can be prevented, such as a real revaluation of the Brazilian real during the past decade, it is impossible to implement reasonable redistribution policies and policies that promote the productive potential of the economy, especially in manufacturing. However, the increasing complexity of economies, owing partly to globalization processes, has made it difficult to find inverted U-curves in inequality data for countries for the period since 1980.",MANUFACTURING
"In this context, Mexico’s challenge is to use the growing water reform momentum to create inclusive, integrated and coherent water policy. Moving forward under a business-as-usual scenario is not an option. Addressing this means, in part, improving the quality of rivers, lakes and aquifers in Mexico. This task has been a major challenge throughout the country because surface and groundwater quality is threatened by pollution loads from point and diffuse sources, and insufficient attention to wastewater discharges. Currently, 91.3% of the population has access to drinking water services, and 89.9% has sanitation coverage. In 2010 alone, hurricanes affected 118 municipalities in Coahuila, Nuevo Leon, and Tamaulipas, 138 municipalities in the states of Campeche, Puebla, Veracruz, and 56 in the states of Chiapas and Oaxaca.",ENVIROTECH
